implementation,byte_value,time_ns,sample_id
Precomputed_SBox,0,23.40,0
Algebraic_SBox,0,21.80,0
Precomputed_SBox,0,23.00,1
Algebraic_SBox,0,21.60,1
Precomputed_SBox,0,23.00,2
Algebraic_SBox,0,21.60,2
Precomputed_SBox,0,22.80,3
Algebraic_SBox,0,21.80,3
Precomputed_SBox,0,22.80,4
Algebraic_SBox,0,21.60,4
Precomputed_SBox,0,23.00,5
Algebraic_SBox,0,21.60,5
Precomputed_SBox,0,22.80,6
Algebraic_SBox,0,21.60,6
Precomputed_SBox,0,23.00,7
Algebraic_SBox,0,21.60,7
Precomputed_SBox,0,22.80,8
Algebraic_SBox,0,21.60,8
Precomputed_SBox,0,23.00,9
Algebraic_SBox,0,21.60,9
Precomputed_SBox,0,22.80,10
Algebraic_SBox,0,21.80,10
Precomputed_SBox,0,23.00,11
Algebraic_SBox,0,21.60,11
Precomputed_SBox,0,23.00,12
Algebraic_SBox,0,21.60,12
Precomputed_SBox,0,23.00,13
Algebraic_SBox,0,21.60,13
Precomputed_SBox,0,23.00,14
Algebraic_SBox,0,21.60,14
Precomputed_SBox,0,23.00,15
Algebraic_SBox,0,21.80,15
Precomputed_SBox,0,22.80,16
Algebraic_SBox,0,21.80,16
Precomputed_SBox,0,22.80,17
Algebraic_SBox,0,21.80,17
Precomputed_SBox,0,22.80,18
Algebraic_SBox,0,21.60,18
Precomputed_SBox,0,23.00,19
Algebraic_SBox,0,21.80,19
Precomputed_SBox,0,23.00,20
Algebraic_SBox,0,21.80,20
Precomputed_SBox,0,22.80,21
Algebraic_SBox,0,21.60,21
Precomputed_SBox,0,22.80,22
Algebraic_SBox,0,21.60,22
Precomputed_SBox,0,23.00,23
Algebraic_SBox,0,21.60,23
Precomputed_SBox,0,23.00,24
Algebraic_SBox,0,21.60,24
Precomputed_SBox,0,22.80,25
Algebraic_SBox,0,21.60,25
Precomputed_SBox,0,22.80,26
Algebraic_SBox,0,21.80,26
Precomputed_SBox,0,22.80,27
Algebraic_SBox,0,21.60,27
Precomputed_SBox,0,22.80,28
Algebraic_SBox,0,21.60,28
Precomputed_SBox,0,22.20,29
Algebraic_SBox,0,21.60,29
Precomputed_SBox,0,21.40,30
Algebraic_SBox,0,21.80,30
Precomputed_SBox,0,21.40,31
Algebraic_SBox,0,21.60,31
Precomputed_SBox,0,21.40,32
Algebraic_SBox,0,21.60,32
Precomputed_SBox,0,21.40,33
Algebraic_SBox,0,21.80,33
Precomputed_SBox,0,21.40,34
Algebraic_SBox,0,21.60,34
Precomputed_SBox,0,21.40,35
Algebraic_SBox,0,21.60,35
Precomputed_SBox,0,21.40,36
Algebraic_SBox,0,21.60,36
Precomputed_SBox,0,21.40,37
Algebraic_SBox,0,21.60,37
Precomputed_SBox,0,21.60,38
Algebraic_SBox,0,21.60,38
Precomputed_SBox,0,21.60,39
Algebraic_SBox,0,21.60,39
Precomputed_SBox,0,21.60,40
Algebraic_SBox,0,21.60,40
Precomputed_SBox,0,21.60,41
Algebraic_SBox,0,21.60,41
Precomputed_SBox,0,21.60,42
Algebraic_SBox,0,21.80,42
Precomputed_SBox,0,21.60,43
Algebraic_SBox,0,21.60,43
Precomputed_SBox,0,21.60,44
Algebraic_SBox,0,21.80,44
Precomputed_SBox,0,21.80,45
Algebraic_SBox,0,21.60,45
Precomputed_SBox,0,21.60,46
Algebraic_SBox,0,21.80,46
Precomputed_SBox,0,21.40,47
Algebraic_SBox,0,21.80,47
Precomputed_SBox,0,21.20,48
Algebraic_SBox,0,21.60,48
Precomputed_SBox,0,21.20,49
Algebraic_SBox,0,21.60,49
Precomputed_SBox,1,16.40,0
Algebraic_SBox,1,21.60,0
Precomputed_SBox,1,16.60,1
Algebraic_SBox,1,21.60,1
Precomputed_SBox,1,16.60,2
Algebraic_SBox,1,21.60,2
Precomputed_SBox,1,16.40,3
Algebraic_SBox,1,21.60,3
Precomputed_SBox,1,16.60,4
Algebraic_SBox,1,21.60,4
Precomputed_SBox,1,16.60,5
Algebraic_SBox,1,21.60,5
Precomputed_SBox,1,16.40,6
Algebraic_SBox,1,21.60,6
Precomputed_SBox,1,16.60,7
Algebraic_SBox,1,21.60,7
Precomputed_SBox,1,16.40,8
Algebraic_SBox,1,21.60,8
Precomputed_SBox,1,16.40,9
Algebraic_SBox,1,21.40,9
Precomputed_SBox,1,16.40,10
Algebraic_SBox,1,21.20,10
Precomputed_SBox,1,16.40,11
Algebraic_SBox,1,21.20,11
Precomputed_SBox,1,16.20,12
Algebraic_SBox,1,21.20,12
Precomputed_SBox,1,16.20,13
Algebraic_SBox,1,21.40,13
Precomputed_SBox,1,16.20,14
Algebraic_SBox,1,21.40,14
Precomputed_SBox,1,16.40,15
Algebraic_SBox,1,21.20,15
Precomputed_SBox,1,16.20,16
Algebraic_SBox,1,21.20,16
Precomputed_SBox,1,16.20,17
Algebraic_SBox,1,21.20,17
Precomputed_SBox,1,16.20,18
Algebraic_SBox,1,21.20,18
