implementation,byte_value,time_ns,sample_id
AES_big,0,279.68,0
AES_small,0,1077.98,0
AES_ct,0,1340.15,0
AES_big,0,258.82,1
AES_small,0,1017.24,1
AES_ct,0,1312.92,1
AES_big,0,223.61,2
AES_small,0,862.01,2
AES_ct,0,1353.24,2
AES_big,0,222.74,3
AES_small,0,864.10,3
AES_ct,0,1303.00,3
AES_big,0,222.89,4
AES_small,0,863.64,4
AES_ct,0,1292.89,4
AES_big,0,223.31,5
AES_small,0,867.83,5
AES_ct,0,1318.54,5
AES_big,0,228.84,6
AES_small,0,889.77,6
AES_ct,0,1298.17,6
AES_big,0,225.00,7
AES_small,0,857.75,7
AES_ct,0,1300.82,7
AES_big,0,223.36,8
AES_small,0,867.98,8
AES_ct,0,1288.33,8
AES_big,0,223.82,9
AES_small,0,878.03,9
AES_ct,0,1350.23,9
AES_big,0,224.29,10
AES_small,0,866.61,10
AES_ct,0,1302.64,10
AES_big,0,224.24,11
AES_small,0,866.46,11
AES_ct,0,1302.60,11
AES_big,0,224.29,12
AES_small,0,866.42,12
AES_ct,0,1306.55,12
AES_big,0,223.52,13
AES_small,0,914.55,13
AES_ct,0,1305.38,13
AES_big,0,224.22,14
AES_small,0,877.06,14
AES_ct,0,1318.64,14
AES_big,0,223.71,15
AES_small,0,868.15,15
AES_ct,0,1312.20,15
AES_big,0,224.75,16
AES_small,0,873.41,16
AES_ct,0,1309.73,16
AES_big,0,224.71,17
AES_small,0,873.45,17
AES_ct,0,1309.10,17
AES_big,0,224.18,18
AES_small,0,875.24,18
AES_ct,0,1305.17,18
AES_big,0,223.95,19
AES_small,0,891.82,19
AES_ct,0,1321.18,19
AES_big,0,224.05,20
AES_small,0,871.28,20
AES_ct,0,1355.04,20
AES_big,0,224.83,21
AES_small,0,879.17,21
AES_ct,0,1313.64,21
AES_big,0,224.62,22
AES_small,0,884.47,22
AES_ct,0,1320.44,22
AES_big,0,232.62,23
AES_small,0,871.32,23
AES_ct,0,1326.14,23
AES_big,0,226.18,24
AES_small,0,870.18,24
AES_ct,0,1336.78,24
AES_big,0,224.71,25
AES_small,0,877.82,25
AES_ct,0,1321.45,25
AES_big,0,251.66,26
AES_small,0,864.46,26
AES_ct,0,1311.63,26
AES_big,0,224.45,27
AES_small,0,861.19,27
AES_ct,0,1308.07,27
AES_big,0,224.50,28
AES_small,0,873.54,28
AES_ct,0,1299.83,28
AES_big,0,225.42,29
AES_small,0,899.46,29
AES_ct,0,1316.81,29
AES_big,0,220.15,30
AES_small,0,863.63,30
AES_ct,0,1315.60,30
AES_big,0,226.06,31
AES_small,0,872.65,31
AES_ct,0,1307.92,31
AES_big,0,224.31,32
AES_small,0,918.97,32
AES_ct,0,1334.65,32
AES_big,0,223.88,33
AES_small,0,863.97,33
AES_ct,0,1311.04,33
AES_big,0,224.09,34
AES_small,0,872.38,34
AES_ct,0,1307.77,34
AES_big,0,224.43,35
AES_small,0,866.36,35
AES_ct,0,1278.95,35
AES_big,0,218.52,36
AES_small,0,918.84,36
AES_ct,0,1301.92,36
AES_big,0,225.44,37
AES_small,0,878.85,37
AES_ct,0,1318.83,37
AES_big,0,224.98,38
AES_small,0,859.90,38
AES_ct,0,1267.57,38
AES_big,0,219.60,39
AES_small,0,846.85,39
AES_ct,0,1302.58,39
AES_big,0,218.71,40
AES_small,0,853.50,40
AES_ct,0,1302.70,40
AES_big,0,224.94,41
AES_small,0,871.02,41
AES_ct,0,1302.81,41
AES_big,0,224.29,42
AES_small,0,861.19,42
AES_ct,0,1294.36,42
AES_big,0,224.62,43
AES_small,0,899.10,43
AES_ct,0,1305.32,43
AES_big,0,225.13,44
AES_small,0,866.99,44
AES_ct,0,1305.38,44
AES_big,0,225.97,45
AES_small,0,870.09,45
AES_ct,0,1307.14,45
AES_big,0,262.47,46
AES_small,0,888.97,46
AES_ct,0,1338.70,46
AES_big,0,224.83,47
AES_small,0,877.21,47
AES_ct,0,1303.72,47
AES_big,0,223.93,48
AES_small,0,870.83,48
AES_ct,0,1272.03,48
AES_big,0,219.15,49
AES_small,0,875.27,49
AES_ct,0,1342.63,49
AES_big,0,223.57,50
AES_small,0,874.55,50
AES_ct,0,1295.88,50
AES_big,0,219.72,51
AES_small,0,849.95,51
AES_ct,0,1272.03,51
AES_big,0,219.75,52
AES_small,0,860.02,52
AES_ct,0,1304.05,52
AES_big,0,244.81,53
AES_small,0,867.67,53
AES_ct,0,1284.57,53
AES_big,0,219.53,54
AES_small,0,856.20,54
AES_ct,0,1279.16,54
AES_big,0,219.37,55
AES_small,0,857.28,55
AES_ct,0,1299.98,55
AES_big,0,224.07,56
AES_small,0,875.54,56
AES_ct,0,1325.69,56
AES_big,0,225.89,57
AES_small,0,871.66,57
AES_ct,0,1322.04,57
AES_big,0,232.16,58
AES_small,0,866.46,58
AES_ct,0,1310.28,58
AES_big,0,225.25,59
AES_small,0,867.63,59
AES_ct,0,1338.89,59
AES_big,0,220.25,60
AES_small,0,851.64,60
AES_ct,0,1273.49,60
AES_big,0,220.17,61
AES_small,0,857.45,61
AES_ct,0,1296.71,61
AES_big,0,225.49,62
AES_small,0,875.06,62
AES_ct,0,1298.82,62
AES_big,0,224.69,63
AES_small,0,871.70,63
AES_ct,0,1272.07,63
AES_big,0,219.91,64
AES_small,0,840.18,64
AES_ct,0,1285.73,64
AES_big,0,224.24,65
AES_small,0,872.96,65
AES_ct,0,1298.86,65
AES_big,0,222.09,66
AES_small,0,871.25,66
AES_ct,0,1335.41,66
AES_big,0,223.57,67
AES_small,0,860.38,67
AES_ct,0,1304.60,67
AES_big,0,224.68,68
AES_small,0,863.53,68
AES_ct,0,1301.25,68
AES_big,0,224.69,69
AES_small,0,878.35,69
AES_ct,0,1287.86,69
AES_big,0,218.90,70
AES_small,0,905.37,70
AES_ct,0,1315.10,70
AES_big,0,224.77,71
AES_small,0,867.08,71
AES_ct,0,1304.52,71
AES_big,0,219.96,72
AES_small,0,850.91,72
AES_ct,0,1277.75,72
AES_big,0,219.81,73
AES_small,0,863.32,73
AES_ct,0,1328.84,73
AES_big,0,225.06,74
AES_small,0,872.46,74
AES_ct,0,1310.05,74
AES_big,0,219.20,75
AES_small,0,852.32,75
AES_ct,0,1277.98,75
AES_big,0,218.61,76
AES_small,0,851.85,76
AES_ct,0,1283.28,76
AES_big,0,222.98,77
AES_small,0,915.76,77
AES_ct,0,1306.91,77
AES_big,0,226.31,78
AES_small,0,856.98,78
AES_ct,0,1285.26,78
AES_big,0,220.32,79
AES_small,0,847.89,79
AES_ct,0,1279.82,79
AES_big,0,220.78,80
AES_small,0,871.70,80
AES_ct,0,1329.37,80
AES_big,0,226.57,81
AES_small,0,868.11,81
AES_ct,0,1294.64,81
AES_big,0,225.19,82
AES_small,0,870.20,82
AES_ct,0,1312.46,82
AES_big,0,242.42,83
AES_small,0,867.86,83
AES_ct,0,1313.83,83
AES_big,0,241.49,84
AES_small,0,868.79,84
AES_ct,0,1299.79,84
AES_big,0,224.83,85
AES_small,0,857.58,85
AES_ct,0,1272.05,85
AES_big,0,219.74,86
AES_small,0,867.43,86
AES_ct,0,1301.39,86
AES_big,0,225.83,87
AES_small,0,889.18,87
AES_ct,0,1306.78,87
AES_big,0,219.98,88
AES_small,0,844.23,88
AES_ct,0,1270.82,88
AES_big,0,220.42,89
AES_small,0,850.36,89
AES_ct,0,1295.50,89
AES_big,0,232.54,90
AES_small,0,867.60,90
AES_ct,0,1344.23,90
AES_big,0,225.00,91
AES_small,0,873.51,91
AES_ct,0,1299.98,91
AES_big,0,224.09,92
AES_small,0,852.42,92
AES_ct,0,1300.93,92
AES_big,0,225.00,93
AES_small,0,869.40,93
AES_ct,0,1298.82,93
AES_big,0,224.81,94
AES_small,0,972.44,94
AES_ct,0,1307.16,94
AES_big,0,226.21,95
AES_small,0,880.80,95
AES_ct,0,1287.61,95
AES_big,0,224.66,96
AES_small,0,875.52,96
AES_ct,0,1307.16,96
AES_big,0,233.09,97
AES_small,0,872.97,97
AES_ct,0,1331.48,97
AES_big,0,223.97,98
AES_small,0,879.61,98
AES_ct,0,1307.87,98
AES_big,0,225.34,99
AES_small,0,885.29,99
AES_ct,0,1366.58,99
AES_big,0,225.44,100
AES_small,0,877.51,100
AES_ct,0,1298.99,100
AES_big,0,220.23,101
AES_small,0,884.75,101
AES_ct,0,1282.86,101
AES_big,0,224.79,102
AES_small,0,876.98,102
AES_ct,0,1305.85,102
AES_big,0,221.12,103
AES_small,0,847.93,103
AES_ct,0,1280.41,103
AES_big,0,219.75,104
AES_small,0,857.30,104
AES_ct,0,1304.16,104
AES_big,0,224.18,105
AES_small,0,866.93,105
AES_ct,0,1307.66,105
AES_big,0,225.87,106
AES_small,0,856.79,106
AES_ct,0,1272.62,106
AES_big,0,224.45,107
AES_small,0,889.16,107
AES_ct,0,1333.00,107
AES_big,0,225.66,108
AES_small,0,869.08,108
AES_ct,0,1293.50,108
AES_big,0,219.51,109
AES_small,0,849.01,109
AES_ct,0,1272.45,109
AES_big,0,218.92,110
AES_small,0,845.04,110
AES_ct,0,1293.23,110
AES_big,0,224.14,111
AES_small,0,889.45,111
AES_ct,0,1307.16,111
AES_big,0,225.89,112
AES_small,0,843.96,112
AES_ct,0,1272.85,112
AES_big,0,219.75,113
AES_small,0,847.55,113
AES_ct,0,1269.64,113
AES_big,0,224.18,114
AES_small,0,898.76,114
AES_ct,0,1341.89,114
AES_big,0,225.81,115
AES_small,0,870.56,115
AES_ct,0,1328.42,115
AES_big,0,219.22,116
AES_small,0,850.53,116
AES_ct,0,1269.48,116
AES_big,0,222.60,117
AES_small,0,856.10,117
AES_ct,0,1320.52,117
AES_big,0,224.54,118
AES_small,0,895.60,118
AES_ct,0,1306.55,118
AES_big,0,222.36,119
AES_small,0,846.28,119
AES_ct,0,1277.98,119
AES_big,0,224.18,120
AES_small,0,869.65,120
AES_ct,0,1301.46,120
AES_big,0,225.70,121
AES_small,0,896.40,121
AES_ct,0,1327.68,121
AES_big,0,223.61,122
AES_small,0,873.89,122
AES_ct,0,1304.60,122
AES_big,0,225.38,123
AES_small,0,869.38,123
AES_ct,0,1300.84,123
AES_big,0,223.78,124
AES_small,0,869.23,124
AES_ct,0,1284.51,124
AES_big,0,258.55,125
AES_small,0,849.09,125
AES_ct,0,1285.48,125
AES_big,0,220.89,126
AES_small,0,853.67,126
AES_ct,0,1315.09,126
AES_big,0,226.06,127
AES_small,0,870.43,127
AES_ct,0,1320.99,127
AES_big,0,226.37,128
AES_small,0,910.52,128
AES_ct,0,1327.13,128
AES_big,0,224.85,129
AES_small,0,870.66,129
AES_ct,0,1300.61,129
AES_big,0,225.91,130
AES_small,0,909.30,130
AES_ct,0,1309.80,130
AES_big,0,224.85,131
AES_small,0,874.32,131
AES_ct,0,1337.64,131
AES_big,0,224.07,132
AES_small,0,873.75,132
AES_ct,0,1309.82,132
AES_big,0,225.89,133
AES_small,0,875.92,133
AES_ct,0,1307.20,133
AES_big,0,225.13,134
AES_small,0,875.96,134
AES_ct,0,1307.16,134
AES_big,0,230.58,135
AES_small,0,910.67,135
AES_ct,0,1307.16,135
AES_big,0,225.81,136
AES_small,0,884.30,136
AES_ct,0,1300.72,136
AES_big,0,218.88,137
AES_small,0,860.57,137
