implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),0,41603.0,0
Safe (PyCryptodome),0,5840.2,0
Vulnerable (Naive),0,38010.4,1
Safe (PyCryptodome),0,2892.8,1
Vulnerable (Naive),0,33438.8,2
Safe (PyCryptodome),0,2195.4,2
Vulnerable (Naive),0,17596.6,3
Safe (PyCryptodome),0,2126.6,3
Vulnerable (Naive),0,48894.4,4
Safe (PyCryptodome),0,5259.6,4
Vulnerable (Naive),0,37992.6,5
Safe (PyCryptodome),0,2697.2,5
Vulnerable (Naive),0,37058.2,6
Safe (PyCryptodome),0,7299.8,6
Vulnerable (Naive),0,34289.2,7
Safe (PyCryptodome),0,2259.4,7
Vulnerable (Naive),0,18904.8,8
Safe (PyCryptodome),0,2252.8,8
Vulnerable (Naive),0,20689.2,9
Safe (PyCryptodome),0,2466.6,9
Vulnerable (Naive),0,19471.2,10
Safe (PyCryptodome),0,2166.8,10
Vulnerable (Naive),0,20864.2,11
Safe (PyCryptodome),0,2681.2,11
Vulnerable (Naive),0,44878.0,12
Safe (PyCryptodome),0,5210.6,12
Vulnerable (Naive),0,40298.4,13
Safe (PyCryptodome),0,2328.6,13
Vulnerable (Naive),0,19629.2,14
Safe (PyCryptodome),0,5002.8,14
Vulnerable (Naive),0,32807.0,15
Safe (PyCryptodome),0,2076.0,15
Vulnerable (Naive),0,18376.4,16
Safe (PyCryptodome),0,5632.6,16
Vulnerable (Naive),0,47830.2,17
Safe (PyCryptodome),0,6027.6,17
Vulnerable (Naive),0,20061.6,18
Safe (PyCryptodome),0,2113.8,18
Vulnerable (Naive),0,29573.0,19
Safe (PyCryptodome),0,6237.0,19
Vulnerable (Naive),0,39282.2,20
Safe (PyCryptodome),0,6034.0,20
Vulnerable (Naive),0,44586.2,21
Safe (PyCryptodome),0,3109.8,21
Vulnerable (Naive),0,19683.4,22
Safe (PyCryptodome),0,2962.8,22
Vulnerable (Naive),0,28038.2,23
Safe (PyCryptodome),0,4218.0,23
Vulnerable (Naive),0,31149.8,24
Safe (PyCryptodome),0,6740.2,24
Vulnerable (Naive),0,30625.8,25
Safe (PyCryptodome),0,2763.6,25
Vulnerable (Naive),0,22030.2,26
Safe (PyCryptodome),0,3501.2,26
Vulnerable (Naive),0,40516.4,27
Safe (PyCryptodome),0,2664.0,27
Vulnerable (Naive),0,20784.0,28
Safe (PyCryptodome),0,5818.2,28
Vulnerable (Naive),0,44270.8,29
Safe (PyCryptodome),0,6308.6,29
Vulnerable (Naive),0,49305.6,30
Safe (PyCryptodome),0,5580.2,30
Vulnerable (Naive),0,51595.4,31
Safe (PyCryptodome),0,4918.8,31
Vulnerable (Naive),0,31290.0,32
Safe (PyCryptodome),0,3653.2,32
Vulnerable (Naive),0,33236.0,33
Safe (PyCryptodome),0,3981.6,33
Vulnerable (Naive),0,38652.2,34
Safe (PyCryptodome),0,4461.8,34
Vulnerable (Naive),0,28722.8,35
Safe (PyCryptodome),0,3723.4,35
Vulnerable (Naive),0,30384.0,36
Safe (PyCryptodome),0,3044.4,36
Vulnerable (Naive),0,34242.0,37
Safe (PyCryptodome),0,3292.4,37
Vulnerable (Naive),0,41936.4,38
Safe (PyCryptodome),0,6174.2,38
Vulnerable (Naive),0,37383.4,39
Safe (PyCryptodome),0,3326.0,39
Vulnerable (Naive),0,39742.6,40
Safe (PyCryptodome),0,7128.0,40
Vulnerable (Naive),0,50417.8,41
Safe (PyCryptodome),0,7062.8,41
Vulnerable (Naive),0,47609.6,42
Safe (PyCryptodome),0,6263.4,42
Vulnerable (Naive),0,42561.8,43
Safe (PyCryptodome),0,4014.0,43
Vulnerable (Naive),0,34781.2,44
Safe (PyCryptodome),0,4104.4,44
Vulnerable (Naive),0,38103.8,45
Safe (PyCryptodome),0,7110.2,45
Vulnerable (Naive),0,31980.4,46
Safe (PyCryptodome),0,5896.4,46
Vulnerable (Naive),0,39183.0,47
Safe (PyCryptodome),0,4105.0,47
Vulnerable (Naive),0,34065.2,48
Safe (PyCryptodome),0,6098.4,48
Vulnerable (Naive),0,46270.4,49
Safe (PyCryptodome),0,3636.4,49
Vulnerable (Naive),1,25962.2,0
Safe (PyCryptodome),1,5364.0,0
Vulnerable (Naive),1,20282.8,1
Safe (PyCryptodome),1,5365.4,1
Vulnerable (Naive),1,32915.0,2
Safe (PyCryptodome),1,6570.4,2
Vulnerable (Naive),1,29038.4,3
Safe (PyCryptodome),1,3759.0,3
Vulnerable (Naive),1,21378.8,4
Safe (PyCryptodome),1,5056.4,4
Vulnerable (Naive),1,20833.8,5
Safe (PyCryptodome),1,4371.6,5
Vulnerable (Naive),1,28847.6,6
Safe (PyCryptodome),1,2602.0,6
Vulnerable (Naive),1,28246.2,7
Safe (PyCryptodome),1,2649.8,7
Vulnerable (Naive),1,26149.8,8
Safe (PyCryptodome),1,3349.0,8
Vulnerable (Naive),1,18391.4,9
Safe (PyCryptodome),1,5583.4,9
