implementation,byte_value,time_ns,sample_id
Vulnerable (Naive),0,18340.2,0
Safe Toy (CT SBox),0,62257.8,0
Safe (PyCryptodome),0,3168.0,0
Vulnerable (Naive),0,17441.6,1
Safe Toy (CT SBox),0,63413.6,1
Safe (PyCryptodome),0,2426.8,1
Vulnerable (Naive),0,10678.4,2
Safe Toy (CT SBox),0,63091.6,2
Safe (PyCryptodome),0,3013.0,2
Vulnerable (Naive),0,14473.2,3
Safe Toy (CT SBox),0,49593.6,3
Safe (PyCryptodome),0,3154.2,3
Vulnerable (Naive),0,13692.8,4
Safe Toy (CT SBox),0,48019.2,4
Safe (PyCryptodome),0,3575.2,4
Vulnerable (Naive),0,18679.6,5
Safe Toy (CT SBox),0,49462.2,5
Safe (PyCryptodome),0,3139.8,5
Vulnerable (Naive),0,12583.8,6
Safe Toy (CT SBox),0,45950.0,6
Safe (PyCryptodome),0,3002.2,6
Vulnerable (Naive),0,12414.0,7
Safe Toy (CT SBox),0,54833.8,7
Safe (PyCryptodome),0,3913.8,7
Vulnerable (Naive),0,13878.4,8
Safe Toy (CT SBox),0,50639.4,8
Safe (PyCryptodome),0,3373.8,8
Vulnerable (Naive),0,13871.8,9
Safe Toy (CT SBox),0,48537.0,9
Safe (PyCryptodome),0,2791.0,9
Vulnerable (Naive),0,12617.4,10
Safe Toy (CT SBox),0,49046.6,10
Safe (PyCryptodome),0,3216.6,10
Vulnerable (Naive),0,13477.6,11
Safe Toy (CT SBox),0,57791.0,11
Safe (PyCryptodome),0,3468.2,11
Vulnerable (Naive),0,13058.4,12
Safe Toy (CT SBox),0,48289.4,12
Safe (PyCryptodome),0,3034.8,12
Vulnerable (Naive),0,14597.6,13
Safe Toy (CT SBox),0,53388.4,13
Safe (PyCryptodome),0,2987.0,13
Vulnerable (Naive),0,15718.4,14
Safe Toy (CT SBox),0,57877.0,14
Safe (PyCryptodome),0,3462.6,14
Vulnerable (Naive),0,15080.2,15
Safe Toy (CT SBox),0,67688.6,15
Safe (PyCryptodome),0,3253.6,15
